Id,Sales
1,4643.0
2,7840.0
3,9341.0
4,5706.0
5,6522.0
6,5611.0
7,8060.0
8,7350.0
9,5138.0
10,5480.0
11,6684.0
12,7665.0
13,6552.0
14,7670.0
15,5170.0
16,4800.0
17,5633.0
18,9129.0
19,10003.0
20,9131.0
21,7206.0
22,5216.0
23,6147.0
24,4147.0
25,8309.0
26,9394.0
27,9049.0
28,5916.0
29,4777.0
30,4906.0
31,5527.0
32,9646.0
33,6909.0
34,5703.0
35,5290.0
36,6844.0
37,3994.0
38,7656.0
39,4358.0
40,7235.0
41,7197.0
42,5760.0
43,7440.0
44,6882.0
45,4802.0
46,6478.0
47,6873.0
48,10439.0
49,6460.0
50,7667.0
51,7662.0
52,9128.0
53,6399.0
54,9944.0
55,4620.0
56,4491.0
57,6222.0
58,6126.0
59,9503.0
60,7548.0
61,5776.0
62,7622.0
63,7094.0
64,9911.0
65,4158.0
66,13198.0
67,4747.0
68,6106.0
69,8322.0
70,5668.0
71,5941.0
72,6335.0
73,7110.0
74,5104.0
75,5271.0
76,8238.0
77,7572.0
78,6759.0
79,4534.0
80,7211.0
81,11059.0
82,6570.0
83,4980.0
84,6802.0
85,6396.0
86,7346.0
87,7671.0
88,4018.0
89,7812.0
90,6059.0
91,7168.0
92,7459.0
93,4477.0
94,6269.0
95,5307.0
96,7340.0
97,9264.0
98,5246.0
99,5056.0
100,6390.0
101,6135.0
102,5621.0
103,7779.0
104,6618.0
105,7359.0
106,5611.0
107,4613.0
108,6259.0
109,8066.0
110,8211.0
111,7749.0
112,8106.0
113,5608.0
114,8774.0
115,5458.0
116,7328.0
117,8758.0
118,7074.0
119,9805.0
120,8343.0
121,8047.0
122,5726.0
123,7345.0
124,7771.0
125,6162.0
126,4465.0
127,5700.0
128,7692.0
129,7090.0
130,5045.0
131,8301.0
132,6948.0
133,6654.0
134,5682.0
135,5307.0
136,7039.0
137,7343.0
138,6838.0
139,5382.0
140,5206.0
141,6822.0
142,3929.0
143,6449.0
144,4990.0
145,9100.0
146,7141.0
147,6781.0
148,8804.0
149,5261.0
150,4923.0
151,10171.0
152,6703.0
153,7894.0
154,7623.0
155,5787.0
156,6136.0
157,5929.0
158,7165.0
159,11092.0
160,6261.0
161,3339.0
162,5434.0
163,8181.0
164,9274.0
165,6318.0
166,6967.0
167,4794.0
168,5025.0
169,3244.0
170,4969.0
171,6127.0
172,6578.0
173,7197.0
174,5782.0
175,8029.0
176,9012.0
177,7569.0
178,4742.0
179,9387.0
180,10184.0
181,6259.0
182,7406.0
183,5136.0
184,6606.0
185,4242.0
186,7267.0
187,5255.0
188,8763.0
189,6990.0
190,8394.0
191,7849.0
192,5675.0
193,8373.0
194,18110.0
195,10403.0
196,5640.0
197,3047.0
198,6536.0
199,9104.0
200,6737.0
201,10934.0
202,19118.0
203,3770.0
204,5135.0
205,8777.0
206,5103.0
207,8329.0
208,6858.0
209,6982.0
210,4032.0
211,7202.0
212,6619.0
213,7247.0
214,8649.0
215,6667.0
216,6018.0
217,7302.0
218,5453.0
219,5491.0
220,8006.0
221,5741.0
222,6333.0
223,6966.0
224,5803.0
225,5527.0
226,7452.0
227,6734.0
228,8986.0
229,6577.0
230,6808.0
231,5629.0
232,3769.0
233,6937.0
234,6971.0
235,5352.0
236,4750.0
237,9354.0
